Meslek,Ülke,Yetkinlik,Minimum Beklenilen Deneyim(YIL)
User Experience Specialist,Germany,"Yaratıcı Düşünme,Tasarım Becerisi,Problem Çözme,Analiz",4
Actuary,Turkey,"Analitik Düşünme,Problem Çözme,İyi İletişim,Finansal Analiz",
Actuary,USA,,
Actuary,Canada,,
Actuary,Italy,,
Actuary,Israel,,
Actuary,Germany,,
Metaverse Specialist,Turkey,"Yaratıcılık,İnovasyon,Problem Çözme",
Metaverse Specialist,USA,,
Metaverse Specialist,Canada,,
Metaverse Specialist,Italy,,
Metaverse Specialist,Israel,,
Metaverse Specialist,Germany,,
E-Sports Gamers,Turkey,"Takım Çalışması,Stres Yönetimi,Liderlik",
E-Sports Gamers,USA,,
E-Sports Gamers,Canada,,
E-Sports Gamers,Italy,,
E-Sports Gamers,Israel,,
E-Sports Gamers,Germany,,
Genetic Engineering,Turkey,"Analitik Düşünme,Problem Çözme,Araştırma Becerisi",
Genetic Engineering,USA,,
Genetic Engineering,Canada,,
Genetic Engineering,Italy,,
Genetic Engineering,Israel,,
Genetic Engineering,Germany,,
Entrepreneurship,Turkey,"Yaratıcılık,Liderlik,İnovasyon,Problem Çözme,Satış Becerisi",0
Entrepreneurship,USA,,
Entrepreneurship,Canada,,
Entrepreneurship,Italy,,
Entrepreneurship,Israel,,
Entrepreneurship,Germany,,
IoT Engineering,Turkey,"Yaratıcılık,İnovasyon,Problem Çözme,Analitik Düşünme,Programlama,Öğrenmeye Açıklık",1
IoT Engineering,USA,,
IoT Engineering,Canada,,
IoT Engineering,Italy,,
IoT Engineering,Israel,,
IoT Engineering,Germany,,
Health Tourism,Turkey,"İyi İletişim,Satış Becerisi",2
Health Tourism,USA,,
Health Tourism,Canada,,
Health Tourism,Italy,,
Health Tourism,Israel,,
Health Tourism,Germany,,
